id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
1004588,"
		                Fibre Response FR31 диета для кошек при нарушениях пищеварения, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Fibre_Response_FR31_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_GKT.html?offer=42589,Отсутствует,3769₽,Royal Canin
1002394,"
		                Veterinary Diets UR ST/OX Urinary сухой корм для взрослых кошек для взрослых кошек при болезни нижних отделов мочевыводящих путей, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_UR_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42548,Отсутствует,2569₽,Purina
1043130,"
		                N&D PRIME сухой корм для котят, с курицей и гранатом, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-chicken-pomegranate-kitten-300g.html?offer=119881,Отсутствует,2995₽,Farmina
1002271,"
		                Veterinary Diets HA ST/OX Hypoallergenic сухой корм для котят и взрослых кошек для всех пород для снижения пищевой непереносимости ингредиентов и питательных веществ, 1,3 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_NA_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_allergii.html?offer=42544,Отсутствует,2895₽,Purina
1054705,"
		                Корм сухой для кошек старше 7 лет, с курицей и индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-starshe-7-let-s-kuricey-i-indeykoy.html?offer=148702,1499,1274₽,Mealfeel
1000714,"
		                Sensible 33 сухой корм для кошек с чувствительной пищеварительной системой в возрасте с 1 года до 7 лет, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sensible_33_suhoy_korm_dlya_koshek_pri_chuvstvitelnom_pishchevarenii.html?offer=45709,449,2275₽,Royal Canin
1027894,"
		                Kitten корм для здорового роста котят в возрасте от 1 до 12 месяцев, беременных и кормящих кошек, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-korm-dlya-kotyat-1-5-kg.html?offer=81097,Отсутствует,1685₽,Monge
1043134,"
		                N&D PRIME сухой корм для кошек, с курицей и гранатом, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-chicken-pomegranate-adult-300g.html?offer=119886,Отсутствует,2725₽,Farmina
1053529,"
		                Adult Care Hypoallergenic Сухой корм гипоаллергенный для взрослых кошек, с рыбой, 3 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-care-korm-dlya-vzroslyh-koshek-hypoallergenic-s-ryboy-pak-1-5kg.html?offer=145770,Отсутствует,2815₽,Ownat
1030236,"
		                Sterilised сухой корм для взрослых кошек для стерилизованных с чувствительным пищеварением с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-400g-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=86129,1957,1663₽,Pro Plan ®
1037132,"
		                Сухой корм Hills Science Plan для взрослых кошек для поддержания жизненной энергии и иммунитета, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Standard_suhoy_korm_dlya_koshek_kuritsa.html?offer=104587,Отсутствует,1362₽,Hill's
1002777,"
		                36 Adult Корм сухой для кошек породы Британская короткошерстная, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_34_Adult_suhoy_korm_dlya_koshek_porody_Britanskaya_korotkosherstnaya.html?offer=43492,Отсутствует,2737₽,Royal Canin
1030464,"
		                Monoprotein Sterilised Trout сухой корм для стерилизованных кошек с форелью, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-sterilizovannyh-koshek-s-forelyu.html?offer=86470,Отсутствует,1719₽,Monge
1003672,"
		                Prescription Diet c/d Multicare Urinary Care сухой корм для кошек, лечение цистита и МКБ, с курицей, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_CD_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_MKB_kuritsey.html?offer=45808,Отсутствует,2372₽,Hill's
1054021,"
		                Adult Sterilized Luxury Hairball сухой корм для стерилизованных кошек с ягненком, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom.html?offer=146992,Отсутствует,1069₽,UNICA
1043138,"
		                N&D PRIME сухой корм для кошек, с кабаном и яблоком, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-wild-boar-apple-adult-300g.html?offer=119891,Отсутствует,2725₽,Farmina
1043179,"
		                Vet Life Renal диетический сухой корм для кошек при почечной недостаточности, с курицей, 2кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-renal-400-gr.html?offer=120006,Отсутствует,3045₽,Farmina
1040786,"
		                Adult Chicken Корм сухой беззерновой для кошек, с курицей, 1 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-koshek-bezzernovoy-s-kuricey.html?offer=113389,Отсутствует,1099₽,Ownat
1000110,"
		                Science Plan Sterilised Cat сухой корм для стерилизованных кошек старше 7 лет, с курицей, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotovsterilizovannyh_koshek_starshe_7et.html?offer=46718,Отсутствует,1719₽,Hill's
1003651,"
		                Prescription Diet s/d Urinary Care сухой корм для кошек, лечение МКБ, с курицей, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_sobak_melkih_i_karlikovyh_porod_starshe_7et_kuritsey.html?offer=45804,Отсутствует,2480₽,Hill's
1002779,"
		                Sphynx Adult корм для кошек породы сфинкс старше 12 месяцев, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sphynx_33_Adult_suhoy_korm_dlya_koshek_porody_Sfinks.html?offer=41931,Отсутствует,2737₽,Royal Canin
1017249,"
		                Delicate сухой корм для котят при чувствительном пищеварении с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Delicate_suhoy_korm_dlya_kotyat_chuvstvitelnoe_pishchevarenie_indeyka.html?offer=42948,Отсутствует,1765₽,Pro Plan ®
1030526,"
		                Корм сухой для кошек Ньютрид Сатаети Бэлэнс, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-royal-kanin-dlya-koshek-nyutrid-sataeti-belens-pak-400-g.html?offer=86941,Отсутствует,2099₽,Royal Canin
1019937,"
		                Science Plan Sterilised Cat сухой корм для кошек и котят, с тунцом, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_dlya_sterilizovannyh_koshek_tunets.html?offer=47819,Отсутствует,1699₽,Hill's
1056406,"
		                Корм сухой для взрослых кошек крупных пород, с индейкой и курицей, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-krupnyh-porod-s-indeykoy-i-kuricey-400g.html?offer=154260,Отсутствует,1999₽,Mealfeel
1043183,"
		                Vet Life UltraHypo диетический сухой корм для кошек, гипоаллергенный, с рыбой, 2кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-ultrahypo-400-gr.html?offer=120010,Отсутствует,3425₽,Farmina
1053741,"
		                Сухой корм для стерилизованных кошек с ягненком и индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom-i-indeykoy.html?offer=146237,1515,1288₽,AlphaPet
1053912,"
		                Indoor сухой корм для кошек с лососем, рисом и яблоками, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-lososem-risom-i-yablokami.html?offer=146685,Отсутствует,1589₽,UNICA
1043182,"
		                Vet Life Struvite Management диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-management-struvite-400-gr.html?offer=120009,Отсутствует,3045₽,Farmina
1001781,"
		                Mother and Babycat корм для котят в возрасте от 1 до 4 месяцев и для беременных/лактирующих кошек, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Babycat_34_korm_suhoy_korm_dlya_kotyat_ot_1_do_4_mes_i_beremennyh_koshek.html?offer=41915,Отсутствует,2279₽,Royal Canin
1027898,"
		                Hairball корм для домашних кошек, часто страдающих от скопления комков шерсти в желудке, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-hairball-korm-dlya-koshek-dlya-vyvedeniya-shersti-1-5-kg.html?offer=81103,Отсутствует,1629₽,Monge
1003650,"
		                Prescription Diet k/d Kidney Care сухой корм для кошек, лечение заболеваний почек, с курицей, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_KD_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_pochek.html?offer=45803,Отсутствует,2762₽,Hill's
1050324,"
		                OCEAN CAT корм сухой для котят, с треской, креветкой, тыквой и дыней, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-oushen-ket-treska-krevetka-tykva-i-dynya-dlya-kotyat-300g.html?offer=137199,Отсутствует,2915₽,Farmina
1054019,"
		                Adult In-home Luxury Hairball сухой корм для домашних кошек с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-domashnih-koshek-s-kuricey.html?offer=146989,Отсутствует,995₽,UNICA
1037133,"
		                Сухой корм Hills Science Plan для взрослых кошек для поддержания жизненной энергии и иммунитета, с ягненком, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Standard_suhoy_korm_dlya_koshek_yagnenok.html?offer=104589,Отсутствует,1362₽,Hill's
1053757,"
		                Корм сухой для стерилизованных кошек, с индейкой и курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy-i-kuricey.html?offer=146266,Отсутствует,979₽,Sirius
1039533,"
		                Cat Adult корм сухой для взрослых кошек с курицей, 10кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-vzroslyh-koshek-s-kuricey.html?offer=111436,Отсутствует,7365₽,Monge
1054520,"
		                Kitten Delicate Корм сухой для котят с чувствительным пищеварением, с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-kotyat-chuvstvitelnoe-pishchevarenie-s-indeykoy.html?offer=148181,Отсутствует,929₽,Wellkiss
1054525,"
		                Senior Sterilized Корм сухой для кошек старше 7 лет, с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-senor-steril-s-indeykoy.html?offer=148188,Отсутствует,929₽,Wellkiss
1050590,"
		                Корм сухой для стерилизованных кошек курица	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-kurica.html?offer=137908,Отсутствует,1259₽,Brit
1053736,"
		                WOW Сухой корм для стерилизованных кошек с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy2.html?offer=146229,Отсутствует,827₽,AlphaPet
